City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,nuuk,64.1835,-51.7216,0.34,74,100,13.38,GL,1659382740
202,xuddur,4.1213,43.8894,25.35,46,76,4.1,SO,1680982740
203,meulaboh,4.1363,96.1285,24.62,91,100,3.91,ID,1695382740
204,luba,3.4568,8.5547,26.94,83,24,4.46,GQ,1673782740
205,pijijiapan,15.7011,-93.23,32.95,38,0,1.14,MX,1648582740
206,clyde river,70.4692,-68.5914,-15.87,85,100,15.43,CA,1652182740
207,dolinsk,47.35,142.8,-12.39,87,75,4.4,RU,1709782740
208,rudbar,30.15,62.6,11.29,34,3,2.39,AF,1686382740
209,makakilo city,21.3469,-158.0858,25.94,71,0,2.06,US,1634182740
210,beringovskiy,63.05,179.3167,-8.74,82,100,5.4,RU,1713382740
211,visby,57.6409,18.296,2.81,86,75,5.14,SE,1673782740
212,kosh-agach,50.0,88.6667,-23.15,66,19,1.97,RU,1695382740
213,acarau,-2.8856,-40.12,27.74,68,12,8.91,BR,1659382740
214,campo largo,-25.4586,-49.5283,24.74,88,100,1.71,BR,1659382740
215,sinnamary,5.3833,-52.95,24.89,87,100,1.83,GF,1659382740
216,souillac,-20.5167,57.5167,25.21,73,20,3.09,MU,1684582740
217,luderitz,-26.6481,15.1594,16.98,69,47,9.12,NA,1677382740
218,sitka,57.0531,-135.33,0.94,80,40,1.54,US,1637782740
219,warmbad,-28.45,18.7333,20.12,25,77,8.44,NA,1677382740
220,avera,33.194,-82.5271,18.73,53,90,2.2,US,1652182740
221,tupaciguara,-18.5922,-48.705,22.39,74,100,2.69,BR,1659382740
222,lodja,-3.4833,23.4333,18.94,99,100,0.48,CD,1677382740
223,samarai,-10.6167,150.6667,26.52,78,57,5.19,PG,1706182740
224,sakakah,29.9697,40.2064,15.76,65,1,3.4,SA,1680982740
225,krasnyy oktyabr,56.1167,38.8833,-11.79,91,82,2.27,RU,1680982740
226,san quintin,30.4833,-115.95,19.14,66,100,4.79,MX,1641382740
227,puerto ayacucho,5.6639,-67.6236,31.18,57,99,3.0,VE,1655782740
